loan_id,credit_history,income,description,loan_repaid,prediction,timestamp,image_uri,output
c33f4584-b23b-c1d8-493c-d01609de8895,Good,35931,She was a lyft driver.,True,False,2022-08-14 14:40:34.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n04254680_soccer_ball.JPEG,0.5704925151656829
5eb04521-7668-8387-f59b-a79924d8cea5,Good,46259,She wants to become a doctor.,True,True,2022-08-14 23:41:18.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n03133878_Crock_Pot.JPEG,0.10515271612504973
18a61865-cafe-dacf-b2cc-dfa7abf10ac2,Good,43192,She wants to become a freelancer.,True,False,2022-08-14 18:30:46.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n06794110_street_sign.JPEG,0.7512000441744885
9be6a8ea-7f8e-c4c2-994b-7a5674043590,Good,42424,He used to be a pilota singer.,True,True,2022-08-15 06:06:46.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n04596742_wok.JPEG,0.3745054657595487
939d61dc-6eb1-08e2-839a-a6b004e77af5,Good,40715,She is a professor.,True,True,2022-08-15 02:44:21.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n01631663_eft.JPEG,0.8335451364187748
f275418c-da2f-966e-9fdf-e1685f53f26c,Good,58897,He wants to become a doctor.,True,True,2022-08-14 16:46:41.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n03670208_limousine.JPEG,0.06689452168684407
f362b708-c15c-71bf-e2f2-34308c072307,Good,58302,He wants to become a infuluencer.,True,True,2022-08-15 05:46:21.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n03980874_poncho.JPEG,0.14278667214921148
0ec69d37-2d1a-a9ea-64d8-f3636f1f16f1,Good,62691,He is a freelancer.,True,True,2022-08-15 11:04:27.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n04599235_wool.JPEG,0.3009352033900339
1fe2a062-d1f9-effa-1b78-4c44d9d2f5ed,Good,77051,He was a freelancer.,True,True,2022-08-15 07:24:50.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n04399382_teddy.JPEG,0.3928836810740347
291e1aa6-1882-9eed-2749-ac5860383fa0,Good,52636,She is a freelancer.,True,True,2022-08-15 11:26:42.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n02480855_gorilla.JPEG,0.07128626291844731
20f2c360-7ef8-5d5b-d5a2-5c02832ea288,Bad,57039,She is a teacher.,True,True,2022-08-14 13:58:11.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n02111129_Leonberg.JPEG,0.5557138185062792
fa6b594e-98e3-3528-6308-b85bc5b58496,Good,52726,He was a dancer.,True,True,2022-08-15 07:59:22.658721,s3://gantry-customer-bucket-access-test-pdx/imagenet_sample/n03742115_medicine_chest.JPEG,0.040700295797259756
